Location ID,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
3,43475,5222,31488,7,342000, 
4,43475,14419,63911,0, , 
5,43475,11995,44245,0, , 
6,43475,11933,48666,0,8203274.664, 
7,43475,16714,72446,0, , 
8,43475,8066,38414,2,19389395.26, 
9,43475,9777,47367,0, , 
10,43475,24212,86703,0,10023232.39, 
11,43475,13748,42483,1, , 
12,43475,6751,29920,-1,3671492.143, 
1,43474,38677,79997,0, ,0.983693
2,43474,4936,25015,0,9041565.778,0.753557
3,43474,5215,31488,1,179000,0.702666
4,43474,14419,63911,15,11460402.16,0.864674
5,43474,11995,44245,14,4761539.197,0.883954
6,43474,11933,48666,13,6724808.837,0.871671
7,43474,16714,72446,13,4464897.673,0.821298
8,43474,8064,38414,5,6319243.901,0.836158
9,43474,9777,47367,0,11415664.76,0.757118
10,43474,24212,86703,0, ,0.787504
11,43474,13747,42483,9,8504075.556,0.77069
12,43474,6752,29920,7, ,0.774692
1,43473,38677,79997,0,37773239.86, 
2,43473,4936,25015,11, , 
3,43473,5214,31488,4,303019.1, 
4,43473,14404,63911,0, , 
5,43473,11981,44245,0, , 
6,43473,11920,48666,0, , 
7,43473,16701,72446,0, , 
8,43473,8059,38414,0, , 
9,43473,9777,47367,18, , 
10,43473,24212,86703,31,7963976.155, 
11,43473,13738,42483,-3,15645485.72, 
12,43473,6745,29920,-1,4877438.329, 
1,43472,38677,79997,0, , 
2,43472,4925,25015,0,11563922.28, 
3,43472,5210,31488,4,458000, 
4,43472,14404,63911,0, , 
5,43472,11981,44245,0, , 
6,43472,11920,48666,0, , 
7,43472,16701,72446,0, , 
8,43472,8059,38414,0, , 
9,43472,9759,47367,0,5946316.828, 
10,43472,24181,86703,0, , 
11,43472,13741,42483,0, , 
12,43472,6746,29920,0, , 
1,43471,38677,79997,0, , 
2,43471,4925,25015,0, , 
3,43471,5206,31488,7,570000, 
4,43471,14404,63911,0, , 
5,43471,11981,44245,0, , 
6,43471,11920,48666,0, , 
7,43471,16701,72446,0, , 
8,43471,8059,38414,0, , 
9,43471,9759,47367,0, , 
10,43471,24181,86703,0, , 
11,43471,13741,42483,10, , 
12,43471,6746,29920,2, , 
1,43470,38677,79997,0,27491810.58, 
2,43470,4925,25015,0,9606544.529, 
3,43470,5199,31488,1,422000, 
4,43470,14404,63911,0, , 
5,43470,11981,44245,0, , 
6,43470,11920,48666,0, , 
7,43470,16701,72446,0, , 
8,43470,8059,38414,10, , 
9,43470,9759,47367,0, , 
10,43470,24181,86703,0, , 
11,43470,13731,42483,8, , 
12,43470,6744,29920,2, , 
1,43469,38677,79997,201,23613956.21, 
2,43469,4925,25015,5, , 
3,43469,5198,31488,4,118000, 
4,43469,14404,63911,24,10357905.07, 
5,43469,11981,44245,26,9854408.316, 
6,43469,11920,48666,19,4482420.368, 
7,43469,16701,72446,28,10922088.8, 
8,43469,8049,38414,5,10995956.1, 
9,43469,9759,47367,7, , 
10,43469,24181,86703,3, , 
11,43469,13723,42483,3,8840532.951, 
12,43469,6742,29920,1,10416966.18, 
1,43468,38476,79997,0,28260912.98, 
2,43468,4920,25015,0,6825043.283, 
3,43468,5194,31488,12,402000, 
4,43468,14380,63911,40, , 
5,43468,11955,44245,22, , 
6,43468,11901,48666,27,6996884.719, 
7,43468,16673,72446,59, , 
8,43468,8044,38414,3,11955238.39, 
9,43468,9752,47367,0, , 
10,43468,24178,86703,0,17760970.05, 
11,43468,13720,42483,5, , 
12,43468,6741,29920,1, , 
1,43467,38476,79997,0, ,0.98349
2,43467,4920,25015,11,7099535.099,0.753203
3,43467,5182,31488,0,141000,0.702634
4,43467,14340,63911,0,9011020.109,0.86414
5,43467,11933,44245,0,4474559.999,0.883551
6,43467,11874,48666,0,8756838.263,0.871167
7,43467,16614,72446,0,7321342.199,0.82091
8,43467,8041,38414,7,7317124.807,0.835694
9,43467,9752,47367,15,2825347.825,0.757097
10,43467,24178,86703,53, ,0.787204
11,43467,13715,42483,21,20733262.8,0.770309
12,43467,6740,29920,8,7935272.32,0.774521
1,43466,38476,79997,0, , 
2,43466,4909,25015,0, , 
3,43466,5182,31488,3,605000, 
4,43466,14340,63911,0, , 
5,43466,11933,44245,0, , 
6,43466,11874,48666,0, , 
7,43466,16614,72446,0, , 
8,43466,8034,38414,-1, , 
9,43466,9737,47367,0, , 
10,43466,24125,86703,0, , 
11,43466,13694,42483,1,13540933.06, 
12,43466,6732,29920,0, , 
1,43465,38476,79997,0, , 
2,43465,4909,25015,0, , 
3,43465,5179,31488,6,254785.4106, 
4,43465,14340,63911,0, , 
5,43465,11933,44245,0, , 
6,43465,11874,48666,0, , 
7,43465,16614,72446,0, , 
8,43465,8035,38414,0, , 
9,43465,9737,47367,0,3045525.496, 
10,43465,24125,86703,0, , 
11,43465,13693,42483,0, , 
12,43465,6732,29920,0, , 
1,43464,38476,79997,0, , 
2,43464,4909,25015,0, , 
3,43464,5173,31488,2,219000, 
4,43464,14340,63911,37, , 
5,43464,11933,44245,31, , 
6,43464,11874,48666,23, , 
7,43464,16614,72446,40, , 
8,43464,8035,38414,13, , 
9,43464,9737,47367,0, , 
10,43464,24125,86703,0, , 
11,43464,13693,42483,7, , 
12,43464,6732,29920,9, , 
1,43463,38476,79997,0, , 
2,43463,4909,25015,0, , 
3,43463,5171,31488,1,204000, 
4,43463,14303,63911,-2, , 
5,43463,11902,44245,1, , 
6,43463,11851,48666,2, , 
7,43463,16574,72446,3, , 
8,43463,8022,38414,8,17458835.53, 
9,43463,9737,47367,13, , 
10,43463,24125,86703,9, , 
11,43463,13686,42483,3, , 
12,43463,6723,29920,0, , 
1,43462,38476,79997,153,36424676.27, 
2,43462,4909,25015,8, , 
3,43462,5170,31488,3,713000, 
4,43462,14305,63911,29, , 
5,43462,11901,44245,8, , 
6,43462,11849,48666,31,10363902.62, 
7,43462,16571,72446,29, , 
8,43462,8014,38414,4,10664233.4, 
9,43462,9724,47367,0, , 
10,43462,24116,86703,2, , 
11,43462,13683,42483,7, , 
12,43462,6723,29920,1,9805618.766, 
1,43461,38323,79997,0,42901795.32, 
2,43461,4901,25015,0, , 
3,43461,5167,31488,13,1170449.951, 
4,43461,14276,63911,0, , 
5,43461,11893,44245,0, , 
6,43461,11818,48666,0,8684900.395, 
7,43461,16542,72446,0, , 
8,43461,8010,38414,2,16463539.91, 
9,43461,9724,47367,0, , 
10,43461,24114,86703,0,11279514.67, 
11,43461,13676,42483,7, , 
12,43461,6722,29920,4, , 
1,43460,38323,79997,0, ,0.983344
