Date,Cases.to.Date,Population,New.Cases,Viral.RNA,Vaccine.Proportion
43180,121424,610655,13,17281.4167,0.79107825
43179,121411,610655,71,30605.6983,NA
43178,121340,610655,19,8167.47589,NA
43177,121321,610655,58,40757.727,NA
43176,121263,610655,30,122652.701,NA
43175,121233,610655,91,22522.5376,NA
43174,121142,610655,152,20949.8457,NA
43173,120990,610655,6,29160.1732,0.789814583
43172,120984,610655,91,39989.1328,NA
43171,120893,610655,0,16805.4417,NA
43170,120893,610655,3,41689.1469,NA
43169,120890,610655,209,13115.9069,NA
43168,120681,610655,-105,47597.1566,NA
43167,120786,610655,136,28930.0525,NA
43166,120650,610655,18,36477.1924,0.788260417
43165,120632,610655,165,69550.8095,NA
43164,120467,610655,43,356848.485,NA
43163,120424,610655,17,46006.7446,NA
43162,120407,610655,77,119662.868,NA
43161,120330,610655,210,85043.1697,NA
43160,120120,610655,222,46746.3684,NA
43159,119898,610655,314,43718.716,0.786512333
43158,119584,610655,156,0,NA
43157,119428,610655,17,58337.5151,NA
43156,119411,610655,32,45910.6275,NA
43155,119379,610655,64,40528.136,NA
43154,119315,610655,142,67041.0518,NA
43153,119173,610655,296,25374.4814,NA
43152,118877,610655,31,12349.3518,0.784229667
43151,93932,476585,11,11869.0826,NA
43150,93921,476585,837,32810.8272,NA
43149,93084,476585,41,71081.2164,NA
43148,93043,476585,90,71498.1049,NA
43147,92953,476585,43,144067.643,NA
43146,92910,476585,526,0,NA
43145,92384,476585,-273,154066.673,0.7900885
43144,92657,476585,160,99036.3925,NA
43143,92497,476585,223,37099.687,NA
43142,92274,476585,156,15142.139,NA
43141,92118,476585,360,73804.0995,NA
43140,91758,476585,426,34889.816,NA
43139,91332,476585,857,55150.4268,NA
43138,90475,476585,410,82851.6272,0.7864922
43137,90065,476585,19,53523.9356,NA
43136,90046,476585,116,60252.9659,NA
43135,89930,476585,262,54405.3335,NA
43134,89668,476585,427,117424.094,NA
43133,89241,476585,1372,98276.1178,NA
43132,87869,476585,1004,139412.836,NA
43131,86865,476585,1720,99511.4582,0.7819614
43130,85145,476585,237,0,NA
43129,84908,476585,450,237747.425,NA
43128,84458,476585,590,92262.3776,NA
43127,83868,476585,941,169318.392,NA
43126,82927,476585,848,169094.358,NA
43125,82079,476585,2967,234372.345,NA
43124,79112,476585,1215,156744.171,0.7773219
43123,77897,476585,555,86249.8836,NA
43122,77342,476585,654,140329.071,NA
43121,76688,476585,1023,384796.247,NA
43120,75665,476585,1062,177601.912,NA
43119,74603,476585,6651,200359.293,NA
43118,67952,476585,3805,226860.343,NA
43117,64147,476585,467,487111.111,0.7733802
43116,63680,476585,168,324491.228,NA
43115,63512,476585,642,377345.964,NA
43114,62870,476585,245,509004.972,NA
43113,62625,476585,516,0,NA
43112,62109,476585,659,305511.445,NA
43111,61450,476585,3160,0,NA
43110,58290,476585,935,595772.072,0.7693874
43109,57355,476585,494,811046.011,NA
43108,56861,476585,1236,617422.527,NA
43107,55625,476585,211,1014949.5,NA
43106,55414,476585,708,458666.667,NA
43105,54706,476585,-213,818227.132,NA
43104,54919,476585,1681,339870.573,NA
43103,53238,476585,236,367259.005,0.7634959
43102,53002,476585,332,784888.889,NA
43101,52670,476585,113,345895.954,NA
43100,52557,476585,21,0,NA
43099,52536,476585,195,300176.991,NA
43098,52341,476585,219,158383.838,NA
43097,52122,476585,673,131831.397,NA
43096,51449,476585,282,414533.965,0.7594107
43095,51167,476585,157,198757.764,NA
43094,51010,476585,11,111823.975,NA
43093,50999,476585,15,0,NA
43092,50984,476585,428,239151.92,NA
43091,50556,476585,8,158288.095,NA
43090,50548,476585,8,81549.778,NA
43089,50540,476585,156,199730.441,0.7546317
43088,50384,476585,14,194647.725,NA
43087,50370,476585,0,64107.4679,NA
43086,50370,476585,68,157597.36,NA
43085,50302,476585,65,96817.1814,NA
43084,50237,476585,835,11098.0005,NA
43083,49402,476585,0,36833.9996,NA
43082,49402,476585,0,45660.3595,0.7484068
43081,49402,476585,0,64357.8169,NA
43080,49402,476585,0,46513.1774,NA
43079,49402,476585,0,44676.7422,NA
43078,49402,476585,0,47873.5683,NA
43077,49402,476585,0,30397.2379,NA
43076,49402,476585,0,38853.9299,NA
43075,49402,476585,42,42249.7139,0.7392763
43074,49360,476585,47,36782.405,NA
43073,49313,476585,8,41138.8766,NA
43072,49305,476585,93,29930.8609,NA
43071,49212,476585,62,41995.1573,NA
43070,49150,476585,32,49941.8164,NA
43069,49118,476585,169,65161.0028,NA
43068,48949,476585,48,45155.257,0.7282926
43067,48901,476585,59,64760.4745,NA
43066,48842,476585,52,114342.218,NA
43065,48790,476585,1,46917.1183,NA
43064,48789,476585,-2,14258.954,NA
43063,48791,476585,19,0,NA
43062,48772,476585,-349,59016.901,NA
43061,49121,476585,46,12885.3159,0.7236857
43060,49075,476585,16,52373.5682,NA
43059,49059,476585,2,19674.4906,NA
43058,49057,476585,52,16162.7307,NA
43057,49005,476585,768,15521.472,NA
43056,48237,476585,0,13103.5377,NA
43055,48237,476585,0,59458.592,NA
43054,48237,476585,3,15519.3139,0.7206971
43053,48234,476585,66,7989.54108,NA
43052,48168,476585,10,18861.4612,NA
43051,48158,476585,3,24165.0145,NA
43050,48155,476585,15,22404.1787,NA
43049,48140,476585,28,36243.4647,NA
43048,48112,476585,176,65593.7682,NA
43047,47936,476585,69,27362.0685,0.7177043
43046,47867,476585,3,33237.4827,NA
43045,47864,476585,1,29529.2988,NA
43044,47863,476585,138,20759.1905,NA
43043,47725,476585,-44,22628.0225,NA
43042,47769,476585,22,17091.7588,NA
43041,47747,476585,263,15142.8121,NA
43040,47484,476585,62,15188.5536,0.7144828
43039,47422,476585,7,12121.1344,NA
43038,47415,476585,1,22603.9587,NA
43037,47414,476585,21,24810.8413,NA
43036,47393,476585,31,23148.3743,NA
43035,47362,476585,37,23856.8175,NA
43034,47325,476585,162,55237.2022,NA
43033,47163,476585,79,15591.1131,0.7113961
43032,47084,476585,87,14238.077,NA
43031,46997,476585,0,13934.2787,NA
43030,46997,476585,366,9164.32838,NA
43029,46631,476585,0,14874.3411,NA
43028,46631,476585,0,9673.67305,NA
43027,46631,476585,0,17471.5233,NA
43026,46631,476585,0,12104.0115,0.7083031
43025,46631,476585,0,7885.05915,NA
43024,46631,476585,0,47659.6642,NA
43023,46631,476585,0,16304.6908,NA
43022,46631,476585,0,8990.42963,NA
43021,46631,476585,51,19507.044,NA
43020,46580,476585,106,16015.2117,NA
43019,46474,476585,50,16469.0573,0.7050005
43018,46424,476585,15,0,NA
43017,46409,476585,2,67715.8883,NA
43016,46407,476585,46,17198.4387,NA
43015,46361,476585,28,51471.9044,NA
43014,46333,476585,26,0,NA
43013,46307,476585,592,21579.6161,NA
43012,45715,476585,5,24599.5185,0.7014462
43011,45710,476585,17,14863.298,NA
43010,45693,476585,56,62861.59488,NA
43009,45637,476585,31,43136.41188,NA
43008,45606,476585,0,46348.87128,NA
43007,45606,476585,136,28017.19524,NA
43006,45470,476585,5,37774.8162,NA
43005,45465,476585,74,49230.117,0.6974844
43004,45391,476585,7,42628.31424,NA
43003,45384,476585,1,46399.4202,NA
43002,45383,476585,1,40595.8788,NA
43001,45382,476585,215,27537.82176,NA
43000,45167,476585,0,15758.85276,NA
42999,45167,476585,0,13334.4966,NA
42998,45167,476585,0,9570.167004,0.6930133
42997,45167,476585,0,8783.462868,NA
42996,45167,476585,2,26397.88668,NA
42995,45165,476585,3,25671.9498,NA
42994,45162,476585,38,26520.67524,NA
42993,45124,476585,-33,12687.54456,NA
42992,45157,476585,237,0,NA
42991,44920,476585,8,41527.03992,0.6873582
42990,44912,476585,18,32860.41384,NA
42989,44894,476585,51,51825.91968,NA
42988,44843,476585,36,51664.67496,NA
42987,44807,476585,6,26713.87416,NA
42986,44801,476585,99,51280.65864,NA
42985,44702,476585,218,45208.38996,NA
42984,44484,476585,109,25546.44012,0.6809236
42983,44375,476585,15,29924.36748,NA
42982,44360,476585,40,101025.4182,NA
42981,44320,476585,71,22622.75088,NA
42980,44249,476585,135,23183.76588,NA
42979,44114,476585,276,55506.97956,NA
42978,43838,476585,352,281744.3736,NA
42977,43486,476585,110,22221.945,0.6747348
42976,43376,476585,22,37473.279,NA
42975,43354,476585,27,43592.36124,NA
42974,43327,476585,127,57421.70472,NA
42973,43200,476585,154,166736.4384,NA
42972,43046,476585,42,31560.98196,NA
42971,43004,476585,467,124649.7384,NA
42970,42537,476585,45,69102.0768,0.6672268
42969,42492,476585,33,72483.6402,NA
42968,42459,476585,48,93452.28996,NA
42967,42411,476585,293,40081.80564,NA
42966,42118,476585,0,77539.37328,NA
42965,42118,476585,0,40175.1372,NA
42964,42118,476585,363,78946.56864,NA
42963,41755,476585,129,0,0.6602987
42962,41626,476585,61,126983.7936,NA
42961,41565,476585,636,86844.69636,NA
42960,40929,476585,0,84369.3486,NA
42959,40929,476585,0,33937.82772,NA
42958,40929,476585,0,51017.8434,NA
42957,40929,476585,0,145554.15,NA
42956,40929,476585,7,160287.6036,0.6542628
42955,40922,476585,145,62342.73564,NA
42954,40777,476585,26,193484.4804,NA
42953,40751,476585,35,39987.46524,NA
42952,40716,476585,111,18358.31328,NA
42951,40605,476585,48,0,NA
42950,40557,476585,360,68265.80244,NA
42949,40197,476585,122,74813.26224,0.6486204
42948,40075,476585,31,36810.81036,NA
42947,40044,476585,45,38716.15488,NA
42946,39999,476585,128,72017.18316,NA
42945,39871,476585,39,83499.20016,NA
42944,39832,476585,107,29197.3914,NA
42943,39725,476585,227,36480.24396,NA
42942,39498,476585,117,10273.1855,0.643273
42941,39381,476585,51,34626.74496,NA
42940,39330,476585,40,34816.50348,NA
42939,39290,476585,82,11249.11884,NA
42938,39208,476585,84,8309.68056,NA
42937,39124,476585,309,33063.31608,NA
42936,38815,476585,136,7101.185652,NA
42935,38679,476585,39,17610.99384,0.6378492
42934,38640,476585,11,34210.04076,NA
42933,38629,476585,4,21749.91672,NA
42932,38625,476585,25,14787.15804,NA
42931,38600,476585,27,124712.7228,NA
42930,38573,476585,39,123352.5072,NA
42929,38534,476585,85,22485.43332,NA
42928,38449,476585,33,20658.50388,0.631309
42927,38416,476585,4,13493.45292,NA
42926,38412,476585,1,24886.31736,NA
42925,38411,476585,37,22431.64908,NA
42924,38374,476585,38,13376.28396,NA
42923,38336,476585,17,14037.47436,NA
42922,38319,476585,87,8705.98662,NA
42921,38232,476585,25,5935.181616,0.6235285
42920,38207,476585,1,7493.72106,NA
42919,38206,476585,16,11259.83449,NA
42918,38190,476585,-11,10919.61355,NA
42917,38201,476585,27,13661.90604,NA
42916,38174,476585,10,14515.66212,NA
42915,38164,476585,30,12679.34124,NA
42914,38134,476585,-341,8443.96818,0.6161681
42913,38475,476585,16,18391.65048,NA
42912,38459,476585,301,11294.88518,NA
42911,38158,476585,-262,22305.39264,NA
42910,38420,476585,29,2890.1049,NA
42909,38391,476585,32,2928.192996,NA
42908,38359,476585,18,1686.233316,NA
42907,38341,476585,41,2035.078932,0.6063483
42906,38300,476585,41,693.8544876,NA
42905,38259,476585,7,1567.06134,NA
42904,38252,476585,12,0,NA
42903,38240,476585,10,1247.660232,NA
42902,38230,476585,46,1934.675268,NA
42901,38184,476585,0,932.60952,NA
42900,38184,476585,0,948.6952656,0.5937714
42899,38184,476585,2,2337.803628,NA
42898,38182,476585,8,1732.120668,NA
42897,38174,476585,14,1917.457332,NA
42896,38160,476585,42,1598.8341,NA
42895,38118,476585,10,2344.900548,NA
42894,38108,476585,11,2518.885956,NA
42893,38097,476585,37,1591.958028,0.5734272
42892,38060,476585,2,15836.46324,NA
42891,38058,476585,16,0,NA
42890,38042,476585,20,977.5899108,NA
42889,38022,476585,16,2740.322496,NA
42888,38006,476585,20,2547.376716,NA
42887,37986,476585,24,1712.732952,NA
42886,37962,476585,34,7412.30436,0.5505834
42885,37928,476585,5,2428.121304,NA
42884,37923,476585,-12,3295.376424,NA
42883,37935,476585,78,3527.317656,NA
42882,37857,476585,26,2166.64074,NA
42881,37831,476585,16,2553.60456,NA
42880,37815,476585,28,1634.07528,NA
42879,37787,476585,18,1890.697488,0.5332981
42878,37769,476585,6,1016.028932,NA
42877,37763,476585,5,3087.912444,NA
42876,37758,476585,11,3710.304936,NA
42875,37747,476585,14,3843.94026,NA
42874,37733,476585,20,1002.90047,NA
42873,37713,476585,21,2884.884468,NA
42872,37692,476585,2,1405.771812,0.5013446
42871,37690,476585,20,1703.364804,NA
42870,37670,476585,10,2877.118848,NA
42869,37660,476585,721,2325.247176,NA
42868,36939,476585,-672,2621.145996,NA
42867,37611,476585,32,1813.06578,NA
42866,37579,476585,35,0,NA
42865,37544,476585,24,1282.214556,0.4595473
42864,37520,476585,75,1439.40726,NA
42863,37445,476585,12,0,NA
42862,37433,476585,27,2089.172736,NA
42861,37406,476585,46,1015.85299,NA
42860,37360,476585,21,883.132182,NA
42859,37339,476585,18,1460.8752,NA
42858,37321,476585,220,2295.166008,0.4138147
42857,37101,476585,38,6326.377284,NA
42856,37063,476585,34,3472.304616,NA
42855,37029,476585,33,2443.05984,NA
42854,36996,476585,52,2568.306708,NA
42853,36944,476585,15,3041.038488,NA
42852,36929,476585,7,2874.80118,NA
42851,36922,476585,-9,5800.926996,0.3701446
42850,36931,476585,22,2019.74598,NA
42849,36909,476585,6,7013.075604,NA
42848,36903,476585,27,3697.074492,NA
42847,36876,476585,-10,4342.585956,NA
42846,36886,476585,31,2386.032252,NA
42845,36855,476585,40,4590.436764,NA
42844,36815,476585,32,6912.726096,0.3325681
42843,36783,476585,46,4814.500848,NA
42842,36737,476585,228,11495.82157,NA
42841,36509,476585,28,4605.54336,NA
42840,36481,476585,41,6646.922736,NA
42839,36440,476585,32,1956.957108,NA
42838,36408,476585,21,6521.7336,NA
42837,36387,476585,28,6937.645296,0.2978965
42836,36359,476585,30,4154.361684,NA
42835,36329,476585,11,5113.771152,NA
42834,36318,476585,40,1697.086176,NA
42833,36278,476585,34,6676.254636,NA
42832,36244,476585,7,4590.976104,NA
42831,36237,476585,45,5034.164148,NA
42830,36192,476585,8,3323.706876,0.256867
42829,36184,476585,83,981.3114372,NA
42828,36101,476585,-42,0,NA
42827,36143,476585,17,5022.561228,NA
42826,36126,476585,66,0,NA
42825,36060,476585,23,8525.024268,NA
